learnerId,trainingId,progressPercentage,averageScore,completedLessons,totalLessons,completedQuizzes,totalQuizzes,totalEvents,totalTrainingsStarted,totalTrainingsCompleted,lessonCompletionRate,quizCompletionRate,scoreRatio,daysSinceLastActivity,avgEventsPerTraining,at_risk
74,5,41,71,5,12,0,1,16,2,0,0.4167,0.0,0.71,9,8.0,0
75,2,87,83,10,12,2,2,22,2,1,0.8333,1.0,0.83,6,11.0,0
76,2,43,68,3,7,2,4,16,1,0,0.4286,0.5,0.68,7,16.0,0
77,5,44,60,4,8,0,1,12,3,1,0.5,0.0,0.6,11,4.0,0
78,7,15,42,1,9,0,2,3,3,1,0.1111,0.0,0.42,16,1.0,1
79,10,33,25,3,8,1,4,7,3,2,0.375,0.25,0.25,42,2.3333,1
80,6,17,40,1,6,0,2,1,1,0,0.1667,0.0,0.4,11,1.0,1
81,1,85,80,9,11,1,1,13,3,0,0.8182,1.0,0.8,3,4.3333,0
82,10,38,37,2,4,1,2,6,1,0,0.5,0.5,0.37,23,6.0,1
83,7,16,23,1,5,0,3,4,4,1,0.2,0.0,0.23,44,1.0,1
84,4,72,69,4,5,2,3,5,3,0,0.8,0.6667,0.69,8,1.6667,0
85,5,7,57,0,5,0,3,8,3,0,0.0,0.0,0.57,44,2.6667,1
86,9,69,62,6,9,1,1,6,4,3,0.6667,1.0,0.62,7,1.5,0
87,5,70,77,6,8,3,4,29,1,0,0.75,0.75,0.77,7,29.0,0
88,2,55,72,3,6,1,1,5,1,0,0.5,1.0,0.72,10,5.0,0
89,9,61,62,7,11,2,4,15,4,2,0.6364,0.5,0.62,13,3.75,0
90,1,73,76,7,10,2,3,11,3,2,0.7,0.6667,0.76,7,3.6667,0
91,4,72,53,6,8,1,2,9,2,1,0.75,0.5,0.53,15,4.5,0
92,5,75,78,6,8,1,1,13,2,0,0.75,1.0,0.78,12,6.5,0
93,4,1,48,0,5,0,2,3,2,0,0.0,0.0,0.48,25,1.5,0
94,6,56,69,4,7,1,2,17,4,2,0.5714,0.5,0.69,13,4.25,0
95,10,72,58,7,10,2,3,13,4,1,0.7,0.6667,0.58,17,3.25,0
96,9,61,67,5,8,2,3,13,2,1,0.625,0.6667,0.67,17,6.5,0
97,2,65,69,4,6,3,4,5,1,0,0.6667,0.75,0.69,8,5.0,1
98,6,22,55,2,10,1,4,2,4,0,0.2,0.25,0.55,26,0.5,1
99,5,57,74,5,9,1,1,17,2,1,0.5556,1.0,0.74,6,8.5,1
100,1,66,98,5,7,3,4,26,3,1,0.7143,0.75,0.98,5,8.6667,0
101,8,17,22,2,10,1,3,2,1,0,0.2,0.3333,0.22,41,2.0,1
102,7,45,70,3,7,0,1,5,4,1,0.4286,0.0,0.7,10,1.25,0
103,7,10,41,1,10,0,2,7,4,3,0.1,0.0,0.41,22,1.75,1
104,3,84,97,7,8,2,2,13,3,0,0.875,1.0,0.97,6,4.3333,0
105,5,37,46,4,10,1,2,6,2,1,0.4,0.5,0.46,20,3.0,0
106,2,65,68,3,5,3,4,10,2,1,0.6,0.75,0.68,3,5.0,0
107,4,78,80,4,5,1,1,21,1,0,0.8,1.0,0.8,1,21.0,0
108,10,49,77,4,9,2,4,17,4,2,0.4444,0.5,0.77,17,4.25,0
109,6,85,80,6,7,3,4,29,2,1,0.8571,0.75,0.8,7,14.5,0
110,3,88,96,8,9,3,3,16,2,0,0.8889,1.0,0.96,1,8.0,0
111,2,45,74,2,4,1,2,15,3,1,0.5,0.5,0.74,11,5.0,0
112,10,31,47,4,12,1,3,2,4,1,0.3333,0.3333,0.47,41,0.5,1
113,2,48,79,3,6,0,1,11,4,1,0.5,0.0,0.79,14,2.75,1
114,10,68,71,8,12,2,3,22,1,0,0.6667,0.6667,0.71,1,22.0,0
115,3,76,96,6,8,3,4,23,2,1,0.75,0.75,0.96,0,11.5,0
116,1,82,82,7,8,1,1,18,1,0,0.875,1.0,0.82,1,18.0,0
117,1,68,85,5,7,3,4,20,1,0,0.7143,0.75,0.85,2,20.0,0
118,4,24,30,2,8,1,4,2,3,0,0.25,0.25,0.3,18,0.6667,1
119,9,44,57,4,10,1,2,11,1,0,0.4,0.5,0.57,16,11.0,0
120,9,70,79,7,10,1,1,10,4,0,0.7,1.0,0.79,1,2.5,0
121,1,90,89,10,11,1,1,15,1,0,0.9091,1.0,0.89,3,15.0,0
122,6,75,96,8,10,3,4,23,2,0,0.8,0.75,0.96,4,11.5,0
123,10,11,42,1,11,0,2,8,3,2,0.0909,0.0,0.42,25,2.6667,1
124,10,84,94,8,10,3,4,22,2,0,0.8,0.75,0.94,0,11.0,0
125,7,67,92,4,6,3,4,18,1,0,0.6667,0.75,0.92,2,18.0,0
126,7,64,75,6,10,3,4,6,4,0,0.6,0.75,0.75,7,1.5,0
127,6,37,55,4,10,0,1,11,1,0,0.4,0.0,0.55,14,11.0,1
128,10,26,43,3,12,0,1,1,3,2,0.25,0.0,0.43,23,0.3333,1
129,5,87,92,7,8,1,1,19,3,0,0.875,1.0,0.92,0,6.3333,0
130,3,66,88,8,12,3,4,14,4,3,0.6667,0.75,0.88,1,3.5,0
131,7,57,73,5,9,1,1,11,3,2,0.5556,1.0,0.73,13,3.6667,0
132,6,72,65,7,10,3,4,5,1,0,0.7,0.75,0.65,17,5.0,0
133,8,92,97,6,7,2,2,18,1,0,0.8571,1.0,0.97,5,18.0,0
134,7,89,76,6,7,4,4,28,4,3,0.8571,1.0,0.76,7,7.0,0
135,4,33,46,3,8,1,4,3,3,0,0.375,0.25,0.46,23,1.0,1
136,8,53,53,4,8,2,4,16,3,2,0.5,0.5,0.53,14,5.3333,0
137,6,43,64,2,4,0,1,7,4,3,0.5,0.0,0.64,3,1.75,0
138,4,60,59,7,12,2,4,12,3,1,0.5833,0.5,0.59,8,4.0,0
139,1,73,52,7,9,2,3,9,2,0,0.7778,0.6667,0.52,5,4.5,0
140,4,36,60,2,6,0,1,17,3,0,0.3333,0.0,0.6,3,5.6667,0
141,5,96,84,10,10,3,3,30,1,1,1.0,1.0,0.84,1,30.0,0
142,1,74,70,6,8,1,2,11,4,0,0.75,0.5,0.7,3,2.75,0
143,7,69,79,8,11,1,1,26,2,1,0.7273,1.0,0.79,2,13.0,0
144,2,45,44,5,12,1,3,3,1,0,0.4167,0.3333,0.44,12,3.0,1
145,3,4,50,0,8,0,2,3,3,1,0.0,0.0,0.5,31,1.0,1
146,2,17,43,1,8,0,1,6,3,0,0.125,0.0,0.43,28,2.0,1
147,9,34,21,2,7,0,1,5,4,1,0.2857,0.0,0.21,17,1.25,1
148,2,71,96,7,10,1,1,13,3,1,0.7,1.0,0.96,4,4.3333,0
149,2,32,43,2,6,1,4,6,2,1,0.3333,0.25,0.43,40,3.0,1
150,6,66,99,4,6,1,1,28,1,0,0.6667,1.0,0.99,0,28.0,0
151,8,51,66,3,6,1,2,10,2,0,0.5,0.5,0.66,15,5.0,0
152,2,22,26,3,12,0,1,3,3,2,0.25,0.0,0.26,15,1.0,1
153,3,70,98,8,11,1,1,16,4,2,0.7273,1.0,0.98,0,4.0,0
154,10,84,96,6,7,3,3,12,4,3,0.8571,1.0,0.96,7,3.0,0
155,8,31,33,3,11,0,1,0,4,1,0.2727,0.0,0.33,29,0.0,1
156,7,34,53,3,9,0,1,1,4,2,0.3333,0.0,0.53,17,0.25,1
157,5,12,31,1,10,0,1,0,2,0,0.1,0.0,0.31,40,0.0,1
158,5,60,54,3,5,2,4,13,2,0,0.6,0.5,0.54,16,6.5,0
159,8,37,64,2,6,1,3,17,3,1,0.3333,0.3333,0.64,12,5.6667,0
160,1,95,100,10,10,4,4,16,4,3,1.0,1.0,1.0,3,4.0,0
161,8,42,59,3,8,1,3,17,3,1,0.375,0.3333,0.59,8,5.6667,0
162,4,58,68,4,7,2,4,14,4,1,0.5714,0.5,0.68,10,3.5,0
163,5,54,63,4,7,1,2,6,4,0,0.5714,0.5,0.63,6,1.5,0
164,2,88,97,8,9,3,3,26,1,0,0.8889,1.0,0.97,2,26.0,0
165,10,45,55,5,11,2,4,16,2,1,0.4545,0.5,0.55,4,8.0,0
166,2,34,28,2,6,1,3,4,3,2,0.3333,0.3333,0.28,43,1.3333,1
167,6,45,51,4,9,1,3,14,4,2,0.4444,0.3333,0.51,7,3.5,0
168,4,63,77,5,8,1,1,12,2,0,0.625,1.0,0.77,17,6.0,0
169,9,48,71,5,11,1,2,10,3,2,0.4545,0.5,0.71,10,3.3333,0
170,4,14,54,1,7,1,4,8,1,0,0.1429,0.25,0.54,42,8.0,1
171,8,60,64,4,6,2,4,8,3,1,0.6667,0.5,0.64,13,2.6667,0
172,4,59,58,4,6,1,2,13,4,1,0.6667,0.5,0.58,6,3.25,0
173,9,53,74,4,7,1,1,15,1,0,0.5714,1.0,0.74,5,15.0,0
174,2,53,80,5,9,1,1,7,4,0,0.5556,1.0,0.8,7,1.75,0
175,5,42,45,4,9,2,4,8,1,0,0.4444,0.5,0.45,12,8.0,0
176,3,71,64,4,6,1,2,14,4,2,0.6667,0.5,0.64,4,3.5,0
177,2,47,71,4,8,1,3,13,1,0,0.5,0.3333,0.71,14,13.0,0
178,10,89,92,4,4,3,3,30,2,0,1.0,1.0,0.92,0,15.0,0
179,2,37,73,3,7,0,1,9,4,2,0.4286,0.0,0.73,8,2.25,0
180,9,44,73,5,12,1,2,15,1,0,0.4167,0.5,0.73,13,15.0,0
181,5,42,23,3,6,0,1,1,2,1,0.5,0.0,0.23,21,0.5,1
182,6,35,76,1,4,0,1,6,1,0,0.25,0.0,0.76,14,6.0,0
183,8,71,72,8,11,1,2,15,4,2,0.7273,0.5,0.72,6,3.75,0
184,6,57,72,2,4,1,1,8,2,1,0.5,1.0,0.72,11,4.0,0
185,6,54,62,5,10,2,3,13,1,0,0.5,0.6667,0.62,6,13.0,0
186,10,68,75,3,5,3,4,10,4,0,0.6,0.75,0.75,1,2.5,0
187,4,42,63,5,11,0,1,10,1,0,0.4545,0.0,0.63,16,10.0,0
188,9,87,76,10,12,3,4,23,4,1,0.8333,0.75,0.76,3,5.75,0
189,1,25,35,2,9,1,3,4,1,0,0.2222,0.3333,0.35,34,4.0,0
190,10,82,78,7,9,2,2,15,4,0,0.7778,1.0,0.78,3,3.75,0
191,9,69,86,3,5,1,2,16,2,1,0.6,0.5,0.86,1,8.0,0
192,9,65,88,3,4,1,2,26,3,2,0.75,0.5,0.88,7,8.6667,0
193,2,69,79,3,4,1,2,5,2,0,0.75,0.5,0.79,10,2.5,0
194,5,89,97,4,5,2,2,18,1,0,0.8,1.0,0.97,0,18.0,0
195,6,6,27,0,5,0,1,3,2,0,0.0,0.0,0.27,21,1.5,1
196,1,52,56,4,7,1,2,16,1,0,0.5714,0.5,0.56,15,16.0,0
197,10,81,89,8,10,1,1,12,1,0,0.8,1.0,0.89,3,12.0,0
198,9,40,80,2,4,2,4,5,1,0,0.5,0.5,0.8,9,5.0,0
199,5,72,74,6,8,3,4,7,4,3,0.75,0.75,0.74,16,1.75,0
200,6,74,74,6,8,1,2,15,3,1,0.75,0.5,0.74,8,5.0,0
201,2,93,96,5,5,1,1,22,3,1,1.0,1.0,0.96,0,7.3333,0
202,5,29,52,2,7,1,4,6,2,1,0.2857,0.25,0.52,42,3.0,1
203,4,46,70,6,12,1,3,12,2,0,0.5,0.3333,0.7,8,6.0,0
204,1,68,85,5,7,2,3,30,2,1,0.7143,0.6667,0.85,5,15.0,0
205,3,83,95,8,10,3,4,29,1,0,0.8,0.75,0.95,7,29.0,0
206,6,38,36,5,12,0,1,8,4,2,0.4167,0.0,0.36,13,2.0,0
207,7,62,52,2,4,2,4,9,3,0,0.5,0.5,0.52,3,3.0,0
208,9,85,94,4,5,2,2,16,4,3,0.8,1.0,0.94,7,4.0,0
209,9,74,83,7,9,1,1,13,2,0,0.7778,1.0,0.83,6,6.5,0
210,6,39,27,2,4,2,4,5,4,3,0.5,0.5,0.27,42,1.25,1
211,2,68,57,3,4,1,2,13,4,2,0.75,0.5,0.57,11,3.25,0
212,7,40,53,5,12,1,2,15,1,0,0.4167,0.5,0.53,16,15.0,0
213,9,3,20,0,10,0,2,4,3,1,0.0,0.0,0.2,42,1.3333,1
214,6,62,74,3,5,2,3,6,1,0,0.6,0.6667,0.74,12,6.0,0
215,10,72,87,6,8,3,4,20,2,0,0.75,0.75,0.87,1,10.0,0
216,1,19,59,1,5,0,2,0,3,1,0.2,0.0,0.59,18,0.0,1
217,9,52,61,5,9,1,2,7,3,1,0.5556,0.5,0.61,3,2.3333,0
218,10,57,59,5,9,1,1,16,2,0,0.5556,1.0,0.59,10,8.0,0
219,8,69,70,8,11,3,4,29,1,0,0.7273,0.75,0.7,6,29.0,0
220,1,58,74,7,12,2,4,17,1,0,0.5833,0.5,0.74,9,17.0,0
221,3,71,76,4,6,3,4,14,1,0,0.6667,0.75,0.76,7,14.0,0
222,2,38,45,4,10,1,3,3,4,2,0.4,0.3333,0.45,39,0.75,1
223,2,74,77,4,6,2,3,17,2,1,0.6667,0.6667,0.77,6,8.5,0
224,5,50,56,4,8,2,4,6,1,0,0.5,0.5,0.56,8,6.0,0
225,6,20,54,2,11,1,3,0,1,0,0.1818,0.3333,0.54,31,0.0,1
226,9,100,81,5,5,2,2,23,4,4,1.0,1.0,0.81,4,5.75,0
227,10,98,71,9,9,1,1,14,1,1,1.0,1.0,0.71,1,14.0,0
228,6,67,56,4,6,2,3,15,4,2,0.6667,0.6667,0.56,10,3.75,0
229,7,77,84,9,12,1,1,18,2,1,0.75,1.0,0.84,1,9.0,0
230,10,52,55,3,6,2,4,9,1,0,0.5,0.5,0.55,12,9.0,0
231,7,92,92,5,5,2,2,13,3,2,1.0,1.0,0.92,7,4.3333,0
232,9,55,50,2,4,2,3,17,2,0,0.5,0.6667,0.5,10,8.5,0
233,10,74,52,6,8,1,2,12,1,0,0.75,0.5,0.52,14,12.0,0
234,3,0,39,0,9,0,1,8,2,0,0.0,0.0,0.39,27,4.0,1
235,9,29,57,3,11,1,3,4,3,0,0.2727,0.3333,0.57,24,1.3333,1
236,9,66,70,4,6,1,2,17,3,1,0.6667,0.5,0.7,16,5.6667,0
237,7,55,65,6,11,1,2,11,1,0,0.5455,0.5,0.65,9,11.0,0
238,4,43,53,2,5,1,2,7,4,2,0.4,0.5,0.53,14,1.75,0
239,3,75,76,3,4,3,4,16,2,1,0.75,0.75,0.76,3,8.0,0
240,8,90,93,9,10,1,1,26,2,1,0.9,1.0,0.93,2,13.0,0
241,2,90,87,5,6,2,2,24,1,0,0.8333,1.0,0.87,6,24.0,0
242,1,39,75,2,6,2,4,10,2,1,0.3333,0.5,0.75,6,5.0,0
243,4,42,60,3,7,0,1,14,1,0,0.4286,0.0,0.6,8,14.0,0
244,2,74,70,4,6,1,1,24,2,1,0.6667,1.0,0.7,3,12.0,0
245,4,16,40,1,8,1,4,5,1,0,0.125,0.25,0.4,31,5.0,1
246,9,38,57,3,8,1,3,7,2,0,0.375,0.3333,0.57,27,3.5,1
247,8,54,65,2,4,2,3,10,3,2,0.5,0.6667,0.65,9,3.3333,0
248,6,72,94,9,12,1,1,27,4,3,0.75,1.0,0.94,0,6.75,0
249,2,47,73,6,12,0,1,15,3,1,0.5,0.0,0.73,7,5.0,0
250,10,72,75,9,12,2,3,14,3,0,0.75,0.6667,0.75,1,4.6667,0
251,8,69,70,5,7,1,1,14,1,0,0.7143,1.0,0.7,5,14.0,0
252,10,97,79,6,6,4,4,30,4,2,1.0,1.0,0.79,5,7.5,0
253,3,65,83,5,7,3,4,19,3,0,0.7143,0.75,0.83,7,6.3333,0
254,7,17,54,2,10,1,3,6,1,0,0.2,0.3333,0.54,17,6.0,1
255,4,66,97,8,12,3,4,25,4,3,0.6667,0.75,0.97,4,6.25,0
256,1,44,55,3,7,1,3,7,3,1,0.4286,0.3333,0.55,5,2.3333,0
257,8,61,54,7,11,2,3,7,2,1,0.6364,0.6667,0.54,17,3.5,0
258,5,38,73,2,4,0,1,6,2,0,0.5,0.0,0.73,17,3.0,0
259,2,81,75,4,5,2,2,14,4,2,0.8,1.0,0.75,6,3.5,0
260,9,74,74,7,9,1,2,29,3,1,0.7778,0.5,0.74,0,9.6667,0
261,5,79,72,9,11,2,3,26,3,1,0.8182,0.6667,0.72,1,8.6667,0
262,8,11,54,1,7,0,4,2,3,0,0.1429,0.0,0.54,12,0.6667,1
263,6,28,44,2,6,0,1,1,4,0,0.3333,0.0,0.44,14,0.25,1
264,10,8,41,1,12,0,2,6,1,0,0.0833,0.0,0.41,44,6.0,1
265,9,100,77,9,9,2,2,20,3,2,1.0,1.0,0.77,2,6.6667,0
266,9,36,52,3,7,1,4,6,3,0,0.4286,0.25,0.52,18,2.0,0
267,7,20,59,2,11,0,1,6,4,3,0.1818,0.0,0.59,10,1.5,0
268,4,61,52,4,7,1,2,7,1,0,0.5714,0.5,0.52,17,7.0,0
269,7,13,44,1,11,0,1,5,4,1,0.0909,0.0,0.44,23,1.25,1
270,9,44,68,3,6,2,4,13,4,3,0.5,0.5,0.68,7,3.25,1
271,5,64,68,3,5,3,4,11,1,0,0.6,0.75,0.68,10,11.0,0
272,9,36,62,4,11,1,4,16,1,0,0.3636,0.25,0.62,17,16.0,0
273,6,70,72,4,6,2,3,8,1,0,0.6667,0.6667,0.72,16,8.0,0
274,5,73,82,8,11,3,4,17,4,1,0.7273,0.75,0.82,0,4.25,0
275,8,39,64,3,7,1,3,10,1,0,0.4286,0.3333,0.64,4,10.0,0
276,7,2,34,0,4,0,4,5,1,0,0.0,0.0,0.34,43,5.0,1
277,2,37,33,2,5,1,4,1,2,0,0.4,0.25,0.33,38,0.5,1
278,2,3,23,0,5,0,2,0,1,0,0.0,0.0,0.23,12,0.0,1
279,8,66,62,6,9,1,1,8,3,1,0.6667,1.0,0.62,16,2.6667,0
280,6,41,64,3,7,1,2,7,2,1,0.4286,0.5,0.64,4,3.5,0
281,5,11,48,1,5,0,4,8,3,1,0.2,0.0,0.48,21,2.6667,1
282,9,92,76,10,11,4,4,24,3,2,0.9091,1.0,0.76,3,8.0,0
283,10,46,58,4,9,0,1,10,3,0,0.4444,0.0,0.58,12,3.3333,0
284,7,57,71,3,6,2,3,5,4,1,0.5,0.6667,0.71,12,1.25,0
285,5,44,75,2,4,2,4,15,1,0,0.5,0.5,0.75,14,15.0,0
286,5,66,66,5,8,1,1,6,3,2,0.625,1.0,0.66,10,2.0,0
287,10,75,72,9,12,2,3,5,2,1,0.75,0.6667,0.72,4,2.5,0
288,6,55,80,7,12,1,2,11,2,1,0.5833,0.5,0.8,17,5.5,0
289,2,88,83,4,5,1,1,26,3,2,0.8,1.0,0.83,2,8.6667,1
290,3,7,59,1,9,0,4,3,3,0,0.1111,0.0,0.59,15,1.0,0
291,4,7,29,0,6,0,2,8,4,2,0.0,0.0,0.29,18,2.0,1
292,5,100,92,11,11,2,2,17,2,2,1.0,1.0,0.92,2,8.5,0
293,3,5,41,0,10,0,4,5,3,2,0.0,0.0,0.41,21,1.6667,1
294,4,24,29,1,5,0,2,8,2,0,0.2,0.0,0.29,20,4.0,1
295,10,44,31,5,12,2,4,2,3,1,0.4167,0.5,0.31,11,0.6667,1
296,2,61,71,5,8,2,3,15,2,0,0.625,0.6667,0.71,14,7.5,0
297,4,45,38,3,7,0,1,2,1,0,0.4286,0.0,0.38,11,2.0,1
298,8,69,75,3,5,1,1,23,4,1,0.6,1.0,0.75,2,5.75,0
299,1,85,70,3,4,3,4,12,1,0,0.75,0.75,0.7,6,12.0,0
300,3,80,84,6,8,2,3,23,4,0,0.75,0.6667,0.84,6,5.75,0
301,1,62,54,6,9,2,4,7,4,2,0.6667,0.5,0.54,16,1.75,0
302,2,74,67,7,9,3,4,16,2,1,0.7778,0.75,0.67,7,8.0,0
303,4,54,72,5,10,1,1,5,2,0,0.5,1.0,0.72,8,2.5,0
304,3,35,29,3,9,1,3,0,1,0,0.3333,0.3333,0.29,34,0.0,1
305,7,73,96,7,9,2,3,22,2,0,0.7778,0.6667,0.96,1,11.0,0
306,5,20,28,1,5,1,4,8,3,0,0.2,0.25,0.28,31,2.6667,1
307,6,0,49,0,12,0,3,1,4,0,0.0,0.0,0.49,43,0.25,1
308,10,2,45,0,11,0,1,5,2,0,0.0,0.0,0.45,42,2.5,1
309,6,91,91,5,5,3,3,13,4,2,1.0,1.0,0.91,5,3.25,0
310,5,5,50,0,8,0,2,3,4,0,0.0,0.0,0.5,10,0.75,1
311,8,73,53,6,8,2,3,17,4,2,0.75,0.6667,0.53,6,4.25,0
312,4,54,78,6,11,1,1,8,1,0,0.5455,1.0,0.78,4,8.0,0
313,7,89,90,7,8,1,1,17,2,0,0.875,1.0,0.9,6,8.5,0
314,8,46,50,5,10,0,1,14,3,0,0.5,0.0,0.5,15,4.6667,0
315,9,42,53,5,11,2,4,16,3,1,0.4545,0.5,0.53,8,5.3333,0
316,3,89,86,4,5,1,1,19,1,0,0.8,1.0,0.86,2,19.0,0
317,7,83,83,6,7,2,3,24,3,0,0.8571,0.6667,0.83,0,8.0,0
318,4,81,77,8,10,1,1,19,2,0,0.8,1.0,0.77,2,9.5,0
319,1,56,54,4,7,2,4,13,3,2,0.5714,0.5,0.54,3,4.3333,0
320,4,38,58,4,10,0,1,0,4,2,0.4,0.0,0.58,21,0.0,1
